  A B C D E F G H I J K L M N O P Q R S
a 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 
b 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0
c 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
d 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
e 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
f 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
g 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
h 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1
i 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
j 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
k 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
l 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
m 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
n 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0
o 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
p 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
q 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
r 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
s 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
